; Output from TEXES Zonal Mean Study
; Brunt Vaisala Frequency [10!u-3!n s!u-1!n]
; 
; Latitudes [centric]: nlat=          61
; Pressure [atm]: npro=         120
; Data: nlat x npro:           61 x          120
; 
; Latitude:
      -26.493814      -25.573445      -24.656751      -23.743531      -22.833857
      -21.927519      -21.025936      -20.125829      -19.228796      -18.334626
      -17.444886      -16.554292      -15.667881      -14.783838      -13.902120
      -13.022338      -12.146644      -11.270870      -10.396733      -9.5241894
      -8.6530824      -7.7832890      -6.9172461      -6.0470711      -5.1832308
      -4.3205584      -3.4523417      -2.5946443      -1.7272873     -0.86969983
       0.0000000      0.85817913       1.7247304       2.5863828       3.4509497
       4.3138356       5.1818104       6.0483367       6.9157878       7.7823244
       8.6520559       9.5213134       10.393852       11.267984       12.143838
       13.021460       13.901151       14.782954       15.666996       16.553317
       17.442215       18.333644       19.227811       20.124931       21.023503
       21.925168       22.831587       23.742621       24.655744       25.573811
       26.494275
; 
; Pressure:
      9.87170      8.62120      7.52910      6.57540      5.74240      5.01500
      4.37980      3.82500      3.34040      2.91730      2.54770      2.22500
      1.94320      1.69700      1.48200      1.29430      1.13040     0.987170
     0.862120     0.752910     0.657540     0.574240     0.501500     0.437980
     0.382500     0.334040     0.291730     0.254770     0.222500     0.194320
     0.169700     0.148200     0.129430     0.113040    0.0987170    0.0862120
    0.0752910    0.0657540    0.0574240    0.0501500    0.0437980    0.0382500
    0.0334040    0.0291730    0.0254770    0.0222500    0.0194320    0.0169700
    0.0148200    0.0129430    0.0113040   0.00987170   0.00862120   0.00752910
   0.00657540   0.00574240   0.00501500   0.00437980   0.00382500   0.00334040
   0.00291730   0.00254770   0.00222500   0.00194320   0.00169700   0.00148200
   0.00129430   0.00113040  0.000987170  0.000862120  0.000752910  0.000657540
  0.000574240  0.000501500  0.000437980  0.000382500  0.000334040  0.000291730
  0.000254770  0.000222500  0.000194320  0.000169700  0.000148200  0.000129430
  0.000113040  9.87170e-05  8.62120e-05  7.52910e-05  6.57540e-05  5.74240e-05
  5.01500e-05  4.37980e-05  3.82500e-05  3.34040e-05  2.91730e-05  2.54770e-05
  2.22500e-05  1.94320e-05  1.69700e-05  1.48200e-05  1.29430e-05  1.13040e-05
  9.87170e-06  8.62120e-06  7.52910e-06  6.57540e-06  5.74240e-06  5.01500e-06
  4.37980e-06  3.82500e-06  3.34040e-06  2.91730e-06  2.54770e-06  2.22500e-06
  1.94320e-06  1.69700e-06  1.48200e-06  1.29430e-06  1.13040e-06  9.87170e-07
; 
; Data: 
     0.914213     0.975311     0.975715     0.987953     0.973320     0.914523
     0.873214     0.821806     0.744032     0.687102     0.645579     0.621151
     0.651118     0.692273     0.726884     0.779109     0.796848     0.762762
     0.750022     0.704497     0.709241     0.728754     0.773025     0.800988
     0.839065     0.818101     0.778850     0.742759     0.711893     0.699627
     0.705687     0.735926     0.747463     0.795515     0.852586     0.959891
      1.06696      1.17396      1.26184      1.34109      1.38356      1.41283
      1.43209      1.41468      1.37540      1.30070      1.20292      1.09573
      1.01739     0.950104     0.931278     0.896328     0.871577     0.861086
     0.842232     0.818468     0.824792     0.836687     0.784155     0.844417
     0.615437
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN     0.266959     0.524477     0.634201     0.702370
     0.705033     0.660313     0.554511     0.321747         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN
      1.60633      1.62715      1.62058      1.62786      1.61903      1.59693
      1.57039      1.53368      1.47233      1.41558      1.36959      1.35384
      1.35369      1.38316      1.41823      1.46998      1.48058      1.47572
      1.45733      1.43724      1.42492      1.43588      1.45939      1.48644
      1.50737      1.50577      1.49306      1.46494      1.43627      1.41427
      1.40351      1.39894      1.41634      1.46266      1.52497      1.60669
      1.70450      1.80583      1.88898      1.95259      1.99273      2.01581
      2.01995      2.00182      1.96517      1.90558      1.82511      1.72481
      1.63582      1.57301      1.53779      1.52223      1.52911      1.54229
      1.54492      1.54032      1.53221      1.51407      1.48105      1.45964
      1.39262
      4.28771      4.28042      4.26977      4.26307      4.25171      4.23437
      4.21599      4.19503      4.16439      4.13602      4.11222      4.10089
      4.09696      4.10140      4.11055      4.12605      4.12727      4.11674
      4.10751      4.09513      4.08919      4.09012      4.09890      4.10518
      4.11043      4.10636      4.09841      4.08707      4.07535      4.06859
      4.06451      4.06256      4.06971      4.08923      4.11596      4.15260
      4.19934      4.24631      4.28918      4.32376      4.34678      4.36114
      4.36908      4.36272      4.34650      4.32055      4.28572      4.24271
      4.20881      4.18783      4.17964      4.17850      4.18608      4.19846
      4.20449      4.20848      4.21273      4.21526      4.20905      4.21685
      4.19268
      4.96193      4.96124      4.94901      4.94264      4.92878      4.90743
      4.88985      4.86704      4.83671      4.81057      4.78701      4.77333
      4.76947      4.77241      4.77897      4.79350      4.79469      4.78411
      4.77295      4.76060      4.75224      4.75226      4.75796      4.76461
      4.76798      4.76407      4.75668      4.74727      4.73503      4.72836
      4.72618      4.72484      4.73114      4.75054      4.77793      4.81324
      4.85758      4.90604      4.94864      4.98279      5.00482      5.02172
      5.02848      5.02525      5.01023      4.98765      4.95289      4.91068
      4.87558      4.85495      4.84784      4.84849      4.85891      4.87307
      4.88261      4.88657      4.89257      4.89669      4.89363      4.90292
      4.88499
      4.33588      4.33724      4.32879      4.32613      4.31462      4.29222
      4.26939      4.24228      4.20523      4.17037      4.14330      4.12935
      4.12750      4.13393      4.14791      4.16890      4.17088      4.16330
      4.15150      4.13757      4.12947      4.13332      4.14259      4.15414
      4.15914      4.15671      4.14756      4.13193      4.11655      4.10657
      4.10137      4.10108      4.10941      4.13206      4.16876      4.21531
      4.27347      4.33864      4.39513      4.44011      4.47008      4.48917
      4.49626      4.48986      4.46890      4.43437      4.38652      4.32871
      4.27953      4.24643      4.23196      4.22937      4.23668      4.24959
      4.25917      4.26082      4.26230      4.26169      4.25281      4.25148
      4.23184
      3.54896      3.55915      3.54516      3.54443      3.53031      3.50323
      3.47755      3.44467      3.39481      3.34940      3.31272      3.29378
      3.29221      3.30848      3.33044      3.36657      3.37575      3.36740
      3.35024      3.33320      3.32292      3.32969      3.34670      3.36714
      3.37876      3.37656      3.36270      3.34016      3.31649      3.30012
      3.29128      3.28805      3.30433      3.33883      3.39389      3.46447
      3.55186      3.64086      3.72108      3.78095      3.81999      3.84369
      3.85280      3.83795      3.80550      3.75090      3.67916      3.59038
      3.51465      3.46331      3.43994      3.42950      3.43649      3.45270
      3.45911      3.45602      3.45368      3.44764      3.42484      3.42952
      3.36704
      2.39642      2.43849      2.42043      2.43094      2.41232      2.37166
      2.33365      2.28002      2.19211      2.11626      2.05273      2.02658
      2.03120      2.06970      2.11663      2.18808      2.21115      2.19729
      2.16879      2.13790      2.12525      2.14126      2.17385      2.21518
      2.24417      2.23765      2.21538      2.18102      2.14149      2.11417
      2.10242      2.09285      2.11560      2.18237      2.27454      2.39723
      2.54615      2.69300      2.81505      2.91181      2.96734      3.00197
      3.01252      2.98898      2.93271      2.84606      2.72508      2.57038
      2.43366      2.33911      2.29302      2.26551      2.27831      2.29836
      2.29800      2.28649      2.27875      2.25612      2.20452      2.19439
      2.05781
      1.14518      1.25032      1.20825      1.24781      1.21316      1.13640
      1.04716     0.905325     0.596289         -NaN         -NaN         -NaN
         -NaN         -NaN     0.311406     0.710489     0.797312     0.746091
     0.649977     0.515302     0.452125     0.553914     0.702800     0.839650
     0.913552     0.888356     0.825411     0.702212     0.526122     0.377487
     0.295819     0.204209     0.422559     0.721944      1.01396      1.30833
      1.60414      1.86735      2.07353      2.22336      2.31075      2.36304
      2.37617      2.33493      2.24750      2.11106      1.90458      1.62943
      1.36173      1.13662     0.986976     0.915630     0.917378     0.953519
     0.944919     0.911787     0.865158     0.784816     0.578818     0.446413
         -NaN
